,age,age_errm,age_errp,feh,feh_err,kepid,logg,logg_errm,logg_errp,period,period_err,teff,teff_err
145,7.1,0.7,0.9,0.14,0.09,8524425.0,3.969,0.008,0.008,42.44,3.44,0.14,0.09
146,3.3,0.7,1.1,-0.06,0.09,8561221.0,3.604,0.012,0.011,68.93,4.69,-0.06,0.09
147,13.8,3.6,3.9,-0.2,0.3,8574769.0,4.047,0.016,0.016,12.95,1.36,5661.0,123.0
148,3.5,0.7,0.9,-0.09,0.09,8579578.0,3.913,0.014,0.014,3.81,0.65,-0.09,0.09
149,7.0,1.0,1.9,-0.2,0.3,8621637.0,3.946,0.016,0.015,19.4,1.28,5843.0,135.0
150,6.2,2.2,1.8,-0.2,0.3,8656342.0,4.073,0.02,0.026,1.45,0.07,6317.0,152.0
151,3.9,1.6,2.4,-0.2,0.3,8677016.0,4.235,0.028,0.026,28.95,2.26,5892.0,134.0
152,3.4,1.7,2.5,-0.2,0.3,8696343.0,4.335,0.016,0.015,5.42,0.6,6071.0,138.0
153,7.3,2.5,1.6,-0.2,0.3,8776961.0,4.022,0.013,0.015,28.38,3.03,5920.0,146.0
154,4.9,0.7,0.8,-0.2,0.3,8817551.0,3.797,0.015,0.014,25.2,3.59,6005.0,148.0
155,5.9,0.9,3.6,-0.2,0.3,8915084.0,4.143,0.019,0.012,18.17,2.79,5991.0,143.0
156,2.3,1.1,1.7,-0.2,0.3,8950146.0,4.266,0.019,0.018,8.59,0.65,6414.0,150.0
157,3.9,0.6,1.0,-0.2,0.3,8952800.0,3.947,0.013,0.011,26.6,2.18,6148.0,151.0
158,2.9,0.8,0.6,-0.2,0.3,8956017.0,4.056,0.016,0.016,3.43,0.42,6795.0,180.0
159,3.4,0.7,0.6,-0.2,0.3,8981766.0,4.059,0.015,0.014,9.28,0.65,6741.0,447.0
160,6.4,1.3,5.5,-0.2,0.3,9049593.0,4.189,0.025,0.018,12.36,2.55,6240.0,165.0
161,3.7,1.1,0.8,-0.2,0.3,9073645.0,3.836,0.017,0.016,16.49,2.45,6480.0,172.0
162,3.7,1.4,2.2,-0.2,0.3,9093289.0,4.202,0.024,0.023,6.76,0.69,6432.0,150.0
163,7.28,0.51,0.51,-0.13,0.06,9098294.0,4.3,0.03,0.03,16.4695219,0.126262928958333,5840.0,60.0
164,1.4,1.1,1.5,-0.2,0.3,9116461.0,4.323,0.017,0.015,3.04,0.34,6678.0,171.0
165,10.4,2.1,3.2,-0.2,0.3,9119139.0,3.971,0.018,0.017,40.14,3.62,5877.0,132.0
166,4.3,0.7,0.9,-0.2,0.3,9138680.0,3.786,0.016,0.015,18.79,1.53,6104.0,147.0
167,2.2,0.6,1.0,-0.2,0.3,9163769.0,4.194,0.017,0.016,3.18,0.22,6687.0,169.0
168,3.8,0.8,0.7,-0.2,0.3,9202077.0,3.996,0.013,0.013,15.46,1.37,6128.0,135.0
169,1.1,0.4,0.4,0.23,0.09,9206432.0,4.234,0.009,0.009,8.8,1.06,0.23,0.09
170,4.1,0.9,1.1,-0.2,0.3,9225600.0,4.046,0.02,0.019,8.98,0.62,6444.0,161.0
171,2.2,0.3,0.3,-0.23,0.09,9226926.0,4.151,0.012,0.013,2.17,0.15,-0.23,0.09
172,5.5,1.4,1.7,-0.2,0.3,9273544.0,4.112,0.013,0.013,34.7,2.29,6068.0,139.0
173,3.0,0.9,0.9,-0.2,0.3,9287845.0,3.897,0.021,0.021,9.56,1.33,6852.0,178.0
174,3.7,0.6,0.9,-0.2,0.3,9289275.0,4.065,0.012,0.011,11.24,1.07,6290.0,155.0
175,4.5,1.2,0.8,-0.2,0.3,9292130.0,3.885,0.013,0.015,18.86,1.97,6332.0,159.0
176,2.9,0.7,1.0,-0.2,0.3,9328372.0,4.089,0.022,0.022,3.99,0.6,6475.0,162.0
177,5.2,0.7,1.7,-0.2,0.3,9335972.0,3.847,0.01,0.01,26.8,3.19,5932.0,225.0
178,3.6,1.0,0.8,-0.2,0.3,9353712.0,3.926,0.013,0.015,11.3,1.12,6599.0,162.0
179,4.3,1.1,1.4,-0.2,0.3,9390670.0,4.088,0.024,0.022,3.55,0.25,6343.0,149.0
180,5.2,0.9,1.7,-0.2,0.3,9394953.0,4.036,0.019,0.014,23.79,2.2,5779.0,133.0
181,3.4,1.2,0.7,-0.2,0.3,9402223.0,3.776,0.016,0.016,4.87,0.89,6510.0,171.0
182,3.4,1.5,1.9,-0.2,0.3,9410862.0,4.316,0.013,0.012,22.77,2.37,6143.0,148.0
183,6.3,0.7,1.2,-0.2,0.3,9414381.0,3.868,0.01,0.01,46.74,4.37,5797.0,123.0
184,4.7,1.2,0.6,-0.2,0.3,9414417.0,3.995,0.014,0.016,10.68,0.66,6512.0,165.0
185,4.3,1.1,0.8,-0.2,0.3,9446628.0,3.97,0.023,0.022,10.04,0.83,6371.0,172.0
186,4.8,1.5,0.6,-0.2,0.3,9457728.0,3.991,0.014,0.017,23.4,2.65,6383.0,158.0
187,5.7,1.1,1.5,-0.2,0.3,9468847.0,3.99,0.015,0.016,14.65,1.76,6160.0,141.0
188,5.1,0.7,1.4,-0.2,0.3,9512063.0,3.881,0.017,0.017,23.0,3.85,5953.0,139.0
189,3.8,1.0,0.7,-0.2,0.3,9542776.0,3.79,0.046,0.041,7.45,0.51,6827.0,171.0
190,3.6,0.6,1.4,-0.2,0.3,9579208.0,4.023,0.014,0.013,5.39,0.59,6498.0,160.0
191,3.8,1.0,0.9,-0.2,0.3,9696358.0,3.934,0.022,0.02,17.05,1.55,6315.0,160.0
192,3.2,0.8,0.8,-0.2,0.3,9697131.0,4.024,0.017,0.015,6.18,0.5,6545.0,166.0
193,4.4,1.1,2.0,-0.2,0.3,9700430.0,4.15,0.018,0.015,26.83,2.66,6058.0,145.0
194,2.0,0.8,1.0,-0.2,0.3,9702369.0,4.261,0.012,0.011,12.04,1.12,6460.0,164.0
195,7.4,2.4,1.6,-0.2,0.3,9702752.0,4.038,0.014,0.024,54.84,6.38,5823.0,130.0
196,4.0,0.7,1.0,-0.2,0.3,9715099.0,3.78,0.019,0.019,4.81,0.46,6448.0,162.0
197,4.1,1.0,1.6,-0.2,0.3,9754284.0,4.117,0.019,0.016,15.22,1.32,6238.0,157.0
198,10.5,2.3,3.2,-0.2,0.3,9757640.0,3.97,0.018,0.017,48.4,5.02,5686.0,118.0
199,3.4,0.8,1.5,-0.2,0.3,9762786.0,3.99,0.014,0.014,2.43,0.21,6572.0,253.0
200,4.8,1.1,0.8,-0.2,0.3,9787965.0,3.924,0.022,0.021,17.82,2.78,6402.0,149.0
201,3.3,0.8,1.1,-0.2,0.3,9788260.0,3.6,0.013,0.012,37.45,5.66,5525.0,119.0
202,5.7,0.7,1.1,-0.2,0.3,9791157.0,3.927,0.015,0.013,21.02,2.2,6159.0,160.0
203,4.1,1.5,1.5,-0.2,0.3,9812421.0,3.555,0.012,0.012,12.71,1.21,5191.0,103.0
204,3.8,0.8,1.1,-0.16,0.09,9812850.0,4.046,0.016,0.013,5.19,0.79,-0.16,0.09
205,2.9,0.8,0.6,-0.2,0.3,9821513.0,4.03,0.013,0.013,10.34,1.15,6492.0,167.0
206,4.9,0.8,0.6,-0.2,0.3,9880787.0,3.902,0.014,0.016,21.07,2.61,5957.0,145.0
207,2.9,0.6,0.8,-0.2,0.3,9893470.0,3.576,0.015,0.016,15.65,1.33,6134.0,144.0
208,6.9,3.4,3.6,0.11,0.09,9955598.0,4.487,0.015,0.014,34.2,5.64,0.11,0.09
209,2.5,0.7,1.3,-0.2,0.3,10003270.0,3.846,0.016,0.016,7.09,0.48,6634.0,166.0
210,1.8,0.7,0.8,-0.05,0.09,10016239.0,4.313,0.01,0.01,4.91,0.39,-0.05,0.09
211,3.2,0.8,0.7,-0.2,0.3,10024648.0,3.99,0.014,0.013,10.58,0.92,6234.0,145.0
212,9.0,3.9,4.6,-0.2,0.3,10025841.0,4.099,0.024,0.028,11.84,1.22,5949.0,134.0
213,4.9,1.2,0.6,-0.22,0.09,10068307.0,3.927,0.012,0.018,18.6,2.07,-0.22,0.09
214,1.2,0.9,1.1,-0.2,0.3,10070754.0,4.314,0.015,0.014,5.02,0.41,6483.0,167.0
215,2.4,1.7,2.1,-0.2,0.3,10079226.0,4.372,0.014,0.013,14.81,1.23,6020.0,145.0
216,3.6,1.0,0.8,-0.2,0.3,10081026.0,3.83,0.017,0.016,4.32,0.38,6639.0,169.0
217,2.0,0.7,1.4,-0.2,0.3,10129349.0,4.194,0.018,0.017,1.16,0.15,6145.0,0.0
218,13.8,6.1,3.9,-0.2,0.3,10130724.0,4.306,0.016,0.022,32.61,2.95,5443.0,233.0
219,3.3,1.3,0.7,-0.2,0.3,10147635.0,3.748,0.013,0.02,20.34,1.63,6173.0,147.0
220,4.6,0.8,0.6,-0.08,0.09,10162436.0,3.953,0.013,0.012,11.96,2.05,-0.08,0.09
221,3.1,0.6,1.5,-0.2,0.3,10186764.0,4.088,0.016,0.014,11.44,1.01,6161.0,142.0
222,6.2,1.9,1.1,-0.2,0.3,10202294.0,3.961,0.015,0.026,23.55,2.37,5887.0,131.0
223,2.3,0.8,0.7,-0.2,0.3,10214328.0,4.049,0.018,0.017,12.52,0.8,6845.0,169.0
224,6.8,3.4,3.5,-0.2,0.3,10215584.0,4.335,0.023,0.024,22.25,2.94,5848.0,124.0
225,3.9,0.8,0.9,-0.2,0.3,10290021.0,3.955,0.015,0.014,12.93,2.22,6177.0,151.0
226,4.0,0.7,1.0,-0.2,0.3,10295224.0,3.746,0.025,0.025,2.66,0.65,6211.0,156.0
227,12.9,3.9,3.8,-0.2,0.3,10319352.0,4.099,0.026,0.026,24.87,4.06,5743.0,133.0
228,2.8,1.1,1.5,-0.2,0.3,10322381.0,4.205,0.026,0.025,12.1,1.5,6333.0,150.0
229,3.7,1.0,0.6,-0.2,0.3,10324098.0,3.908,0.015,0.015,10.62,0.81,6381.0,155.0
230,2.9,0.7,0.6,-0.2,0.3,10351059.0,4.07,0.013,0.013,9.42,1.23,6612.0,163.0
231,3.5,0.6,0.6,-0.19,0.09,10355856.0,4.074,0.01,0.009,4.47,0.31,-0.19,0.09
232,2.0,0.29,0.29,-0.06,0.06,10454113.0,4.31,0.03,0.03,11.555229075000002,0.12626292895833122,6120.0,60.0
233,2.5,1.1,1.1,0.1,0.09,10462940.0,4.317,0.016,0.015,9.82,1.1,0.1,0.09
234,2.1,0.5,1.0,-0.2,0.3,10491771.0,4.194,0.015,0.014,3.86,0.68,6810.0,203.0
235,4.0,0.9,0.9,-0.2,0.3,10518551.0,3.904,0.014,0.012,20.5,2.44,6171.0,157.0
236,3.3,0.6,0.7,-0.2,0.3,10593351.0,3.651,0.013,0.012,17.73,1.41,6301.0,0.0
237,1.8,0.7,1.4,-0.2,0.3,10610027.0,4.223,0.021,0.021,1.94,0.24,6806.0,184.0
238,1.07,0.25,0.25,0.12,0.06,10644253.0,4.4,0.03,0.03,8.857987275000001,0.21717223780833736,6030.0,60.0
239,0.8,0.8,1.2,-0.2,0.3,10655953.0,4.333,0.021,0.019,6.49,0.57,6444.0,157.0
240,3.4,0.9,1.2,-0.2,0.3,10712891.0,3.637,0.015,0.014,49.41,3.24,5217.0,118.0
241,8.2,2.9,3.3,-0.2,0.3,10717090.0,4.123,0.026,0.024,21.21,2.37,5880.0,137.0
242,4.4,1.2,0.8,-0.2,0.3,10727922.0,3.957,0.021,0.02,11.45,0.91,6171.0,157.0
243,3.3,1.3,0.7,-0.2,0.3,10731424.0,3.778,0.025,0.023,5.12,0.55,6553.0,181.0
244,8.0,1.6,2.0,-0.2,0.3,10732098.0,3.981,0.013,0.013,25.57,6.04,5813.0,149.0
245,1.2,1.2,1.8,-0.2,0.3,10794845.0,4.375,0.02,0.018,1.4,0.08,6258.0,162.0
246,3.8,0.8,0.7,-0.2,0.3,10909629.0,3.9,0.014,0.014,12.37,1.22,6383.0,157.0
247,3.6,1.0,0.6,0.16,0.09,10923629.0,3.818,0.013,0.015,5.7,1.05,0.16,0.09
248,5.3,0.7,1.6,-0.2,0.3,10959362.0,3.844,0.017,0.017,16.31,1.42,5983.0,135.0
249,4.3,0.23,0.23,-0.2,0.06,10963065.0,4.29,0.03,0.03,9.920537075,0.7422713985052773,6060.0,60.0
250,5.8,2.5,3.4,-0.2,0.3,10971974.0,4.302,0.024,0.023,26.86,4.04,5941.0,150.0
251,2.8,0.5,1.3,-0.2,0.3,10972252.0,3.861,0.017,0.013,12.63,0.97,6312.0,175.0
252,5.7,0.4,0.5,0.05,0.09,11026764.0,3.885,0.008,0.009,32.36,2.88,0.05,0.09
253,2.6,0.7,1.1,-0.2,0.3,11075448.0,4.166,0.018,0.017,3.37,0.45,6650.0,169.0
254,1.2,0.4,0.5,-0.12,0.09,11081729.0,4.258,0.011,0.011,2.74,0.31,-0.12,0.09
255,4.9,0.7,1.9,-0.2,0.3,11082784.0,3.86,0.015,0.017,31.93,5.05,5963.0,152.0
256,4.2,0.9,1.0,-0.2,0.3,11083308.0,3.915,0.017,0.015,16.77,1.69,6353.0,159.0
257,3.7,1.1,1.0,-0.2,0.3,11098033.0,3.877,0.027,0.024,23.78,2.82,6217.0,148.0
258,5.1,1.3,3.0,-0.2,0.3,11127479.0,4.225,0.015,0.014,17.64,1.84,6062.0,148.0
259,3.8,1.4,1.0,-0.2,0.3,11133100.0,3.849,0.027,0.025,9.03,0.75,6316.0,163.0
260,4.8,0.6,0.7,-0.2,0.3,11193681.0,3.792,0.014,0.014,31.08,2.98,5802.0,136.0
261,2.8,1.0,1.5,-0.2,0.3,11229052.0,4.198,0.017,0.015,7.98,0.7,6405.0,151.0
262,6.43,0.58,0.58,0.35,0.06,11244118.0,4.09,0.03,0.03,26.921333875000002,0.9141436056583325,5745.0,60.0
263,2.1,0.2,0.3,-0.08,0.09,11253226.0,4.173,0.008,0.008,3.64,0.37,-0.08,0.09
264,8.6,1.7,2.6,-0.2,0.3,11294717.0,3.949,0.019,0.018,42.32,5.43,5825.0,139.0
265,4.3,0.8,1.1,-0.2,0.3,11389393.0,4.006,0.019,0.018,14.69,0.74,6203.0,153.0
266,5.3,1.0,1.1,-0.2,0.3,11389437.0,4.052,0.014,0.015,12.38,1.07,6144.0,138.0
267,4.1,0.5,0.5,-0.2,0.3,11401708.0,3.773,0.01,0.009,15.76,2.51,5951.0,152.0
268,5.0,0.7,0.7,-0.05,0.09,11414712.0,3.798,0.009,0.009,37.46,4.22,-0.05,0.09
269,1.1,1.1,1.5,-0.2,0.3,11454149.0,4.369,0.018,0.017,8.11,0.96,6327.0,158.0
270,3.6,0.8,1.4,-0.2,0.3,11456910.0,4.082,0.02,0.019,22.56,3.4,6216.0,424.0
271,4.8,1.1,0.8,-0.2,0.3,11467550.0,3.934,0.02,0.02,14.48,2.28,6281.0,159.0
272,4.2,1.5,1.0,-0.2,0.3,11506988.0,3.992,0.022,0.026,14.17,1.63,6351.0,150.0
273,3.4,1.0,1.5,-0.2,0.3,11558593.0,3.58,0.02,0.016,1.01,0.07,5228.0,110.0
274,4.9,1.5,1.0,-0.2,0.3,11611414.0,4.054,0.027,0.027,17.99,2.72,6420.0,163.0
275,7.3,2.5,2.4,-0.2,0.3,11708273.0,4.081,0.022,0.023,19.8,2.74,6036.0,151.0
276,4.9,0.8,1.4,-0.2,0.3,11709205.0,3.34,0.011,0.011,57.96,3.33,4801.0,87.0
277,3.9,0.7,1.0,-0.2,0.3,11802939.0,3.718,0.03,0.03,17.24,2.15,6076.0,143.0
278,4.3,1.2,1.8,-0.2,0.3,11862119.0,4.141,0.018,0.018,7.3,0.62,6184.0,158.0
279,2.3,0.6,1.0,-0.2,0.3,11919192.0,3.919,0.02,0.019,6.24,0.04,6827.0,163.0
280,3.8,0.8,1.1,-0.2,0.3,11962180.0,3.979,0.018,0.016,12.88,1.19,6390.0,157.0
281,6.0,1.7,4.0,-0.2,0.3,11971746.0,4.215,0.021,0.018,19.53,2.11,6059.0,158.0
282,3.64,0.26,0.26,-0.09,0.06,12009504.0,4.21,0.03,0.03,8.418663800000001,0.1464649975916639,6065.0,60.0
283,2.0,0.4,0.7,-0.2,0.3,12020532.0,3.484,0.014,0.014,80.83,9.5,5401.0,118.0
284,3.7,0.9,0.7,-0.2,0.3,12069127.0,3.89,0.014,0.014,0.92,0.05,6554.0,162.0
285,5.0,1.8,2.5,-0.2,0.3,12117868.0,4.232,0.017,0.016,17.81,1.63,6168.0,144.0
286,5.2,1.1,1.4,0.04,0.09,12258514.0,4.113,0.011,0.011,15.0,1.84,0.04,0.09
287,4.6,1.3,1.6,-0.2,0.3,12265063.0,4.061,0.022,0.022,7.57,0.74,6084.0,142.0
288,3.7,0.6,0.8,-0.2,0.3,12304142.0,4.045,0.013,0.012,9.89,0.46,6265.0,161.0
289,3.7,1.4,0.7,-0.2,0.3,12366681.0,3.762,0.015,0.023,6.67,0.92,6438.0,160.0
290,3.9,0.8,0.8,-0.2,0.3,12507240.0,4.001,0.015,0.015,16.55,1.46,6219.0,161.0
291,6.3,0.9,1.8,-0.2,0.3,12508433.0,3.819,0.013,0.011,67.03,5.29,5331.0,124.0
292,5.1,1.2,1.1,-0.2,0.3,12735580.0,3.994,0.029,0.03,17.23,1.36,6329.0,147.0
